,user-screen_name,text,user-location,lang,retweet_count,created_at,hashtags,SocialEmotionalLearning,STEMeducation,EnglishLanguageDevelopment,ESSER,k12
0,GregKiesman,The latest The Digital Teacher! https://t.co/4MbQPooNy0 #education #k12,"Winnipeg, Manitoba, Canada",en,0.0,Tue Jul 06 13:09:59 +0000 2021,"['education', 'k12']",False,False,False,False,True
2,karlDcollins,"Still looking for #freelance #science writers. Articles, interviews, website content for our programs in #STEMeducation #scienceinafrica #genderequality. Experience required, competitive rates. DM with bio or similar. Please share",Germany since 2012 (prev. UK),en,0.0,Tue Jul 06 13:11:28 +0000 2021,"['freelance', 'science']",False,True,False,False,False
3,maidanulada,"Would you like to watch a shortish video on how to use vague language in English? Learn all about how to use ‘ish’ with Sian in this useful…ish video!

#English #BBCLearningEnglish #EIAM #grammar #vague #informalenglish #everydayenglish #britishenglish #esl #efl #elt #ish https://t.co/D6RZcFS6iI","Bangkok, Thailand",en,75.0,Tue Jul 06 13:11:30 +0000 2021,,False,False,True,False,False
4,Ballewedtech,"Please join me in #celebrating @janetmelling, achieving her #GCEL2 from @GoogleForEdu today, WOHOO!!! 👏🏼🎉🥳

#GoogleEDU #GoogleET #GoogleEI #GoogleEC #GoogleCE #empower #inspire #share #learn #GrowWithGoogle #EdTech #digitaltransformation #CreativeLeadership #GEGMentor #K12 #EDU https://t.co/X4wCWGr8a5","Bloomington, MN",en,1.0,Tue Jul 06 13:11:31 +0000 2021,"['celebrating', 'GCEL2', 'GoogleEDU']",False,False,False,False,True
5,patriclougheed,The latest Blended Learning Daily! https://t.co/WdIUqC3Y0x Thanks to @virgoinfused @elearningPosts @Atrixware #tesol #esl,Vancouver Island,en,0.0,Tue Jul 06 13:11:59 +0000 2021,"['tesol', 'esl']",False,False,True,False,False
6,maidanulada,"Have you had both doses of the vaccine? Then, you can use the phrase ‘double-jabbed’. Tell us your experiences of getting the vaccine and try to use ‘double-jabbed’ where possible.

#vaccines #jab #covid #coronavirus #esl #wordoftheday #wordoftheweek #vocabulary https://t.co/V2BLe7g5UJ","Bangkok, Thailand",en,31.0,Tue Jul 06 13:12:29 +0000 2021,,False,False,True,False,False
7,education_24x7,Simple things you can do as a teacher to ensure your supply teacher has a great day. https://t.co/XvFRQaNhbN #edchat #teachertips #ntchat #newteachers #education #K12 #teachers https://t.co/vgRGKzsmK6,Delhi,en,1.0,Tue Jul 06 13:12:41 +0000 2021,['edchat'],False,False,False,False,True
8,GPHarvard,"In our webinar ""Teaching Good Work in the Classroom,"" we invite teachers to learn how to support students as they engage with real-world dilemmas for adolescents that will help to prepare them for the world of today. Free here: https://t.co/NrbrWnayeT #lessons #education #k12 https://t.co/7FQBxzj8uI", Harvard University,en,0.0,Tue Jul 06 13:13:03 +0000 2021,,False,False,False,False,True
9,jenallen_edtech,"There are a lot of buzzwords floating around in education. Here are two that you may be hearing about a lot more lately: executive function and social-emotional learning. But, what's the link between #SEL and #ExecutiveFunction? 

Find out here: https://t.co/2TgOLqUcHj",,en,1.0,Tue Jul 06 13:13:14 +0000 2021,,True,False,False,False,False
11,DocSmithTeacher,"Model and empower continuous improvement with a #GrowthMindset.🐢

#Education #EdChat #SEL",Missouri,en,3.0,Tue Jul 06 13:14:07 +0000 2021,"['GrowthMindset', 'Education', 'EdChat', 'SEL']",True,False,False,False,False
12,coopmike48,"Big Education Ape: TOP POSTS THIS WEEK Saturday, July 3, 2021 #REDFORED #tbats #openonlywhensafe #edchat #K12 #learning #edleadership #edtech #engchat #literacy #edreform #NEARA21 - https://t.co/WNgIeHAY0C https://t.co/OhDc6E28fq",California,en,0.0,Tue Jul 06 13:14:26 +0000 2021,"['REDFORED', 'tbats', 'openonlywhensafe', 'edchat', 'K12']",False,False,False,False,True
14,karlDcollins,"Still looking for #freelance #science writers. Articles, interviews, website content for our programs in #STEMeducation #scienceinafrica #genderequality. Experience required, competitive rates. DM with bio or similar. Please share https://t.co/I7nobVvS3I",Germany since 2012 (prev. UK),en,0.0,Tue Jul 06 13:14:33 +0000 2021,"['freelance', 'science']",False,True,False,False,False
15,coopmike48,"Big Education Ape: THE TOP BANANA: TODAY'S EDUCATION HEADLINES Monday, JULY 5, 2021 #REDFORED #tbats #edchat #K12 #learning #AFTTEACH21 #edtech #engchat #literacy #edreform #TEACH21 #TEACHtheTRUTH #CRT - https://t.co/TscjinRdVd https://t.co/lXbPlPIIUl",California,en,0.0,Tue Jul 06 13:14:41 +0000 2021,"['REDFORED', 'tbats', 'edchat', 'K12']",False,False,False,False,True
16,NikPeachey,The Connection Between Learning Gaps and Teacher Burnout https://t.co/D8bQ49IARR #esl #efl #elt #tesol #eal #tefl https://t.co/kJOXe6WpA9,UK,en,0.0,Tue Jul 06 13:14:58 +0000 2021,"['esl', 'efl', 'elt', 'tesol', 'eal', 'tefl']",False,False,True,False,False
17,KosicePeira,"PEIRA.ENGLISH | EASY AND EFFICIENT ENGLISH LEARNING
Download my flashcards kit about colours:
https://t.co/EXOxYsOORG
For more study materials visit: https://t.co/MjAAbHJHRK
#ELT #EFL #ESL #ESOL #English #TESOL #LearnEnglish #EnglishLesson #EAL #ENL #englishtips",Slovak Republic,en,1.0,Tue Jul 06 13:15:04 +0000 2021,,False,False,True,False,False
19,i_to_iTEFL,"It's the question we'll all been waiting to ask... 'Can I teach English abroad during COVID-19?' 🌎👨‍🏫

The short answer is 'yes' in fact, i-to-i graduate, Aileen did and she's here to tell you more about TEFLing abroad during COVID-19!

https://t.co/I1ObDEyVpK

#TEFL #ESL #TESOL","Leeds, UK",en,0.0,Tue Jul 06 13:15:24 +0000 2021,,False,False,True,False,False
20,BaileyDebi,"Don't forget! Our #free Taster Webinar on Improving Social and Emotional Learning in Primary Schools takes place tomorrow! 

Sign up before 12pm today! 

@TownEndResearch https://t.co/sGHjhtFgSQ","Newcastle Upon Tyne, England",en,2.0,Tue Jul 06 13:15:50 +0000 2021,['free'],False,False,False,False,False
21,ritasarathy,"Whether you're a student at school or employed in a job, you've probably felt stressed with your workload... or maybe you've experienced burnout. Wait, what's the difference? Click here to learn more from a Vivensity intern! #Stress #Burnout #SEL https://t.co/WuaG3c2VeX https://t.co/ettZwFUgzW","San Jose, CA",en,1.0,Tue Jul 06 13:15:50 +0000 2021,,True,False,False,False,False
23,Rdene915,"A summer read! Check out my latest book TRUE STORY: Lessons that One Kid Taught Us &amp; grab a few others at https://t.co/3iFdxqQKML, Stories shared by educators &amp; students.  #education #educhat #thriveinEDU #k12 #quotes #SEL @Edumatchbooks @thriveinedu https://t.co/BaGZfWf1DC",Pittsburgh,en,0.0,Tue Jul 06 13:16:02 +0000 2021,,True,False,False,False,True
24,JenRothCDWG,#STEM learning is a great way to engage young minds over the summer. This digital textbook company has great free options for #K12 teachers to share. @govtechnews #cdwsocial https://t.co/dl6yKkvCwj https://t.co/ZA4R5km1pz,"Chicago, IL",en,0.0,Tue Jul 06 13:16:05 +0000 2021,['STEM'],False,False,False,False,True
25,VAST_MEDIA,"Hey #VASTBUZZ users! We've added another case to our platform. Check out ""Jaxon App"" today:

https://t.co/jdtcD4ZQ1j

@samsung @updayUK #jaxon #eSports #ESL https://t.co/HI7dXDU1iN",Berlin,en,0.0,Tue Jul 06 13:16:11 +0000 2021,['VASTBUZZ'],False,False,True,False,False
26,AllyteacherELLs,"2021 SIOP® Virtual Conference | July 14-16
Network &amp; Learn from: 
✅SIOP® Authors
✅Guest Keynote Speaker, Dr. Ayanna Cooper
✅Phenomenal educators from around the world!

Learn More ➡️https://t.co/wHX9mSUY2k
Plz RT
#Advocacy4ELs #EduChat #K12 #Coteachat #SIOP #ELLChat #ELs #ELLs https://t.co/6OSAfXwMPd",,en,20.0,Tue Jul 06 13:16:37 +0000 2021,,False,False,True,False,True
28,SHAPEVT,"Fun, affordable summer series session✌️is coming up next week!! Join SHAPE-VT President-Elect Lyn Porter for “Social Emotional Learning and Group Cooperation” on Thursday July 15th. Find more info and register at https://t.co/bG22WdFa6s",Vermont,en,0.0,Tue Jul 06 13:17:25 +0000 2021,,True,False,False,False,False
29,JMlovesreading,"#K12 #Superintendents, #Principals, and #Teachers download our updated @Learning_Ally #School Leader's Guide to uncover 45 ways your teaching staff can help their #students with #dyslexia and other #strugglingreaders! 

Free download:
https://t.co/CK6HgPBSFS https://t.co/x11mjg4Iqs",,en,0.0,Tue Jul 06 13:19:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'Teachers', 'School']",False,False,False,False,True
32,JaimePerez_7,Can’t believe we got a LAN tournament again. Let’s gooo #ESL #IEM,Helheim,en,0.0,Tue Jul 06 13:20:32 +0000 2021,"['ESL', 'IEM']",False,False,True,False,False
34,worldoflearners,Children compare #play both #onscreen and in #outdoorspaces. https://t.co/qxM3S4Utdl #Tech #Outdoorplay #wellbeing #K12 @Challenge_59 @KidsFirstMedia https://t.co/6YzvpkhHRb,,en,2.0,Tue Jul 06 13:21:12 +0000 2021,"['play', 'onscreen', 'outdoorspaces', 'Tech', 'Outdoorplay', 'wellbeing']",False,False,False,False,True
36,MilwaukeeSCU,"The Office of Finance will host listening sessions for the development of the Elementary and Secondary School Emergency Relief Fund (ESSER III) plan on Thursday, July 8, 2021, 5:30 – 6:30 P.M. at Wisconsin Conservatory of Lifelong Learning.

Learn more at https://t.co/qr4bIZvQyt https://t.co/UO9lIzoml0","Milwaukee, WI",en,1.0,Tue Jul 06 13:21:22 +0000 2021,,False,False,False,True,False
39,CCPS_FRC,"Updated! Supporting ELLs in the Mainstream Classroom: 12 Strategies for Language Instruction -- new videos, ideas, and resources from @ELAdvocacy @TanKHuynh @valentinaESL @edutopia @DStaehrFenner &amp; more! 
https://t.co/3KRgJuYh3V #ELLchat #ELL",Culpeper VA,en,59.0,Tue Jul 06 13:21:44 +0000 2021,,False,False,True,False,False
41,Beyondexams_,"Two most important concepts that Vedic Rishis have given: #ZERO and #INFINITY. Without this, there could be no #maths or #science.
Enroll with Beyond Exams!
#EDULEARN21 #k12",New Delhi,en,0.0,Tue Jul 06 13:22:07 +0000 2021,"['ZERO', 'INFINITY']",False,False,False,False,True
42,cinehead,"What have we learned from #remoteschool and what lessons will we take with us moving forward?

Honored to be part of this conversation with @tacytrow:
• Building community
• How we use #artsed and #creativity to process real world issues #SEL
https://t.co/eP1qJ8mt52 #edchat https://t.co/oeygwL7Yu6",Los Angeles,en,0.0,Tue Jul 06 13:22:45 +0000 2021,['remoteschool'],True,False,False,False,False
44,AXIEDU,"All Courses Access FREE Trial!
We offer data driven professional development that provides immediately useful strategies that work using BOTH online and face to face technology.

https://t.co/8dnpW3dLjT

#360ProPD #GoogleEd #education #edtech #K12 https://t.co/LlFreJB3xH","Madisonville, LA",en,1.0,Tue Jul 06 13:23:04 +0000 2021,,False,False,False,False,True
46,deven_jnv,"Chatterbox #271 – Meet Anna, the new Culips cohost!: https://t.co/EcQvpfh0Xa #TESOL #ESL #TEFL #EFL #ELLs",India,en,3.0,Tue Jul 06 13:23:54 +0000 2021,"['TESOL', 'ESL', 'TEFL', 'EFL', 'ELLs']",False,False,True,False,False
47,ElizPagelHogan,Know any great books for kids about Alhazen? Maybe someone needs to write one!! (From my book with @NomadPressVT)  #leonardodavinci #WritingCommunity #STEMeducation https://t.co/uWMB93JFlR,"Pittsburgh, PA",en,0.0,Tue Jul 06 13:24:16 +0000 2021,,False,True,False,False,False
48,KGolabMLS,"Dear #pathology PGY1s, new #HemOnc &amp; #medicine residents, #MLS students and any #STEMeducation hematophile, here’s a thread with some basic (short and free) lectures on #Hemepath - also check out @PathElective modules on hematology (in CP) and hematopathology (in AP) #leusm",,en,11.0,Tue Jul 06 13:24:56 +0000 2021,"['pathology', 'HemOnc', 'medicine', 'MLS', 'STEMeducation']",False,True,False,False,False
50,limlessons,"👇 #LearnEnglish
Check the answer in our blog post 😃😄📘
#ESL #TOEIC #TOEFL",,en,0.0,Tue Jul 06 13:25:00 +0000 2021,"['LearnEnglish', 'ESL', 'TOEIC', 'TOEFL']",False,False,True,False,False
51,STEMFlights,"Mission complete ✅

@SMATAviation 

#stem #stemeducation #aviation #aviatrix #flying #pilot #avgeek #nonprofit #stemflights #pilotmentor https://t.co/OBg56rktVH",United States,en,0.0,Tue Jul 06 13:25:03 +0000 2021,"['stem', 'stemeducation', 'aviation', 'aviatrix', 'flying', 'pilot', 'avgeek', 'nonprofit']",False,True,False,False,False
53,Buncee,"🌟💬📢🎓”English Verbs” , a @Buncee learning design with @LiveBinders &amp; @pearltrees app smashes to scaffold ESL students’ grammar and communication skills in context #ESL #ELT #grammar #assistivetechnology. https://t.co/a11BCXSf0J","New York, USA",en,1.0,Tue Jul 06 13:25:54 +0000 2021,,False,False,True,False,False
54,KPloves2read,"#K12 #Teachers and #Principals, would it surprise you to learn that using #audiobooks can improve reading scores? It's true! @Learning_Ally explores the most pervasive myths about audiobooks in the #classroom in this infographic. 

Download it now!
https://t.co/azZFo3fafY https://t.co/KE6guXGsv8",Pittsburgh. Pa,en,0.0,Tue Jul 06 13:26:05 +0000 2021,"['K12', 'Teachers', 'Principals', 'audiobooks']",False,False,False,False,True
55,NCastaldoAuthor,"I love putting book lists together of great #STEM #MG titles with my #nonfiction author/friend @PatriciaNewman for #STEMTuesday. We're in the midst of getting lists ready for 2022, folks - and we've got some great #kidlit to share! Keep watch! #STEMeducation #reading #MGBookChat",,en,0.0,Tue Jul 06 13:26:26 +0000 2021,"['STEM', 'MG', 'nonfiction']",False,True,False,False,False
56,AFTunion,"STARTS TODAY at 1 PM ET! Register here ➡️ https://t.co/DLpJwCMRS8. This year’s #TEACH21 conference, July 6-10, features a powerful cohort of speakers addressing the issues we care most about. Let's prepare for back to school for all. #civiced #antiracism #sel #equity #selfcare https://t.co/SzPs8qb86L","Washington, DC",en,2.0,Tue Jul 06 13:26:53 +0000 2021,['TEACH21'],True,False,False,False,False
60,EdTech_K12,What do #K12 administrators and IT leaders need to know when creating #OnlinePD for teachers? @MannyDiscoTech has the answers. Hear more of our #ISTELive conversation here: https://t.co/twNAl1jXP9 https://t.co/Jzcwxl2YeQ,"Vernon Hills, IL",en,0.0,Tue Jul 06 13:30:00 +0000 2021,"['K12', 'OnlinePD']",False,False,False,False,True
61,Rdene915,"Always learning as I go: https://t.co/l6nPKPfiBN Thoughts on All Things #Education, Tech &amp; PD: Experiences w/ #AI #SEL #edtech #STEM #edutwitter  #k12 #thriveinEDU #blendedlearning  #iste #eduMatch https://t.co/CJNpB23NwG",Pittsburgh,en,0.0,Tue Jul 06 13:30:03 +0000 2021,"['Education', 'AI']",True,False,False,False,True
62,meloniewallace,The latest Techie Worx! https://t.co/uxHF73sBf9 Thanks to @sgthomas1973 #edchat #k12,"Lake Charles, Louisiana USA",en,0.0,Tue Jul 06 13:30:03 +0000 2021,"['edchat', 'k12']",False,False,False,False,True
63,917wvxu,"A 15-minute online assessment creates a measurable way to see how youth are developing resiliency and social and emotional learning. The tech has already helped school officials identify 30-50% more at-risk children.

.@jalmendarez57 has more details:
https://t.co/yZx9JLz2JK","Cincinnati, OH",en,0.0,Tue Jul 06 13:30:09 +0000 2021,,False,False,False,False,False
64,NikPeachey,Digital Video - A Manual for Language Teachers https://t.co/jmYujSZkXQ  #esl #efl #elt #tesol #eal #tefl #video #videoshorts https://t.co/hlQtZHn6tX,UK,en,0.0,Tue Jul 06 13:30:28 +0000 2021,"['esl', 'efl', 'elt', 'tesol', 'eal', 'tefl', 'video']",False,False,True,False,False
68,tweet_surfer10,Safemoon Frens add our frens in the Gambia and stay connected with them. Even if we can't always provide financial support we can provide Social and emotional support,The Safemoon,en,4.0,Tue Jul 06 13:33:32 +0000 2021,,False,False,False,False,False
69,WLVRNews,The @BethlehemAreaSD has added a new position to address the social and emotional needs of students and staff. The move comes as schools bring kids back to full-time in-person learning this fall. https://t.co/A8AJYIQJK4,"Bethlehem, PA ",en,0.0,Tue Jul 06 13:33:42 +0000 2021,,False,False,False,False,False
70,education_24x7,"So since starting at my new school, I've just loved helping to run our Science Academy (like science club). Working on building STEM weekly activities that run for 30min. Please comment suggestions!
#STEM #STEMed #Education #Science #STEAM #STEMeducation https://t.co/3DmKaJCyYT",Delhi,en,2.0,Tue Jul 06 13:33:48 +0000 2021,,False,True,False,False,False
71,MonicaHousen,"This. 
Is. 
So.
Cool.

#math #hsmath #playtolearn #interactive #iteachmath #k12 #edutwitter #mathscpdchat #mathtwitter #MTBoS 

https://t.co/NV3VRAPHXA",NY/CT area,en,0.0,Tue Jul 06 13:33:55 +0000 2021,"['math', 'hsmath', 'playtolearn', 'interactive', 'iteachmath', 'k12', 'edutwitter', 'mathscpdchat']",False,False,False,False,True
73,RedikerSoftware,Learn more about our fully web-based #k12 school admissions &amp; enrollment software: AdmissionsPlus. Register for a free demo: 7/7 @ 12pm or 7/22 @ 11am https://t.co/hrGIn2ueFl #schooladmission #CharterSchool #catholicschool #independentschool #schooladmissions #admissionsplus https://t.co/rAr95q7yQI,"Hampden, MA",en,0.0,Tue Jul 06 13:34:08 +0000 2021,['k12'],False,False,False,False,True
74,froehlichm,"Three Ways Administrators Can Support the Social-Emotional Well-being of their Teachers (and One Please Don’t Do)

https://t.co/Ah4dUYO8gb

#mentalhealth #sel #edumatch",WI,en,0.0,Tue Jul 06 13:35:00 +0000 2021,,True,False,False,False,False
75,Tazbarneygg,"@nfldraftscout Thank you for the help! I am a 7-12th grade science teacher in Ohio. I truly appreciate any help with supplies and books for my professional development. #STEM #STEMeducation
#ohio #blacklistcleared #WomenInSTEM

https://t.co/xgzmDcZUWT https://t.co/uQNZSb6rrI","Florida, USA",en,3.0,Tue Jul 06 13:35:11 +0000 2021,,False,True,False,False,False
78,ASCD,"Join us on Thursday, July 8th at 3pm ET for our next #ASCDWebinar! In this session, Jeffrey Benson will share how to incorporate #SEL into your existing  lesson plans.

Register today! ➡️ https://t.co/RR1nsfGw4Y https://t.co/fqWCNjaoyB","Alexandria, VA (D.C. area)",en,0.0,Tue Jul 06 13:36:02 +0000 2021,['ASCDWebinar'],True,False,False,False,False
79,NDE_AQuESTT,"Hope you all had a great July 4th! In case you missed it, NDE released new resources on ESSER III at our new &amp; improved webpage here: https://t.co/4vNCk1ovyB","Lincoln, NE",en,0.0,Tue Jul 06 13:36:51 +0000 2021,,False,False,False,True,False
82,dpregan,"#Cybersecurity is one of the most critical #natsec topics in the United States. Our #K12 #schools are under attack, and it's time to respond. Get up to speed on what #parents, #teachers, &amp; administrators need to know to keep #schools and communities #safe. https://t.co/gHzRUDW6iG https://t.co/pGoo068Ml9","Raleigh, NC",en,1.0,Tue Jul 06 13:37:39 +0000 2021,"['Cybersecurity', 'natsec', 'K12', 'schools']",False,False,False,False,True
83,politijack,"Social emotional learning needs to be in our schools. Not as a curriculum lesson or curriculum event, but woven into the daily fabric of the schedule. We used community meetings, morning meeting, mediation, and more ... And it still wasn't enough.","Cincinnati, OH",en,0.0,Tue Jul 06 13:38:49 +0000 2021,,True,False,False,False,False
84,lightspeedtek,"“We are figuring it out in real time.” — @StephenBrock27, on how school psychologists are improvising ways to talk to students with mental health problems during the #pandemic. @jonapolitano has the story. @The74 https://t.co/CKEwnPNuvX #SEL","Tualatin, OR",en,0.0,Tue Jul 06 13:39:00 +0000 2021,,True,False,False,False,False
85,TruthAboutStock,"@Mitesh_Engr @1988shivesh There is a fraud trader called wise trader who used to call Bhikari to those people who eat brokrage but when he got good following he started his own business.
Now daily he send emotional messages that he is doing social service (paid) by people learning stock market",,en,0.0,Tue Jul 06 13:39:04 +0000 2021,,False,False,False,False,False
88,jonbartelt,Truly a great day to read on Twitter!  This piece is fantastic and addresses the elephant in the room: what are YOU doing to address the SE needs of the adults in your school district?,,en,0.0,Tue Jul 06 13:40:28 +0000 2021,,False,False,False,False,False
89,Lene04367892,"This is a heads up to all parents worried about their children being brainwashed with Critical Race Theory.
The communist wordsmiths have now changed it to
Transformative Social, Emotional Learning. 
Sounds nice😡doesn't it.
Keep moving the target so they confuse you.",,en,108.0,Tue Jul 06 13:40:55 +0000 2021,,False,False,False,False,False
91,deven_jnv,"Good day from Amsterdam.  
Kiss someone today.  Just ask first 😄
Seek Truth.  Think Critically.   

https://t.co/roSQUbNVsE 

#MainlySpeaking #English #Tutor #Onlinelearning #Language #Learning #ESL #SpeakEnglish #LearnEnglish #Fluency #Criticalthinking #Wedemandtruth https://t.co/6zZWuyFJFi",India,en,1.0,Tue Jul 06 13:41:03 +0000 2021,,False,False,True,False,False
92,GMSEnglish,"(to) ""Tear It Up"" – New Phrase Added To The GiveMeSomeEnglish!!! Lexis &amp; Vocabulary Portal #TearItUp #Vocabulary #Phrases #Metaphorical #Idiomatic #ESL #EFL - https://t.co/r158vgRNQc",World-Wide,en,0.0,Tue Jul 06 13:41:08 +0000 2021,"['TearItUp', 'Vocabulary']",False,False,True,False,False
93,BUmechanobio,Summer application period for #NDiSTEM21 registration scholarships is now open to all #communitycollege #undergrad and #grad students. SACNAS has funds available for students in #STEMeducation #biomedical #science and #behavioralscience. Apply today: https://t.co/b3Uyug7nCy https://t.co/CDFOWm560G,Boston University,en,8.0,Tue Jul 06 13:41:35 +0000 2021,"['NDiSTEM21', 'communitycollege', 'undergrad', 'grad']",False,True,False,False,False
96,CSPA,"Our #IdiomoftheWeek is 'actions speak louder than words'. 🦵🗣️

What do you think this #Idiom means? Let us know in the comments, or check your answer here: https://t.co/UjrPfgbRSH

#ESL #LearnEnglish #EnglishLearner https://t.co/x9w48ItXsg","Columbia U, NYC",en,13.0,Tue Jul 06 13:44:13 +0000 2021,"['IdiomoftheWeek', 'Idiom']",False,False,True,False,False
98,UNESCO_MGIEP,"Are you an expert in social and emotional learning? We are looking for you to write for us. Head over to https://t.co/Ru10cBXUEF to submit your piece. ⏰ Deadline of submission: 7th August, 2021
 
Explore our SEL Blog here: https://t.co/DFbf2P4thm
 
#SocialEmotionalLearning https://t.co/1LXNTYIuMW","New Delhi, India",en,0.0,Tue Jul 06 13:44:26 +0000 2021,,False,False,False,False,False
99,CSPA,"Do you use any of these?

https://t.co/vFt0KqeKcW

#English #grammar #ESL #teacherresources #language #Englishlanguage #words #vocabulary #amwriting #writingtips #writingcommunity #grammarworksheets #writing","Columbia U, NYC",en,9.0,Tue Jul 06 13:44:36 +0000 2021,"['English', 'grammar', 'ESL', 'teacherresources', 'language', 'Englishlanguage']",False,False,True,False,False
100,Lexile_Quantile,"Learn about the new Educator Academy from @Lexile_Quantile and receive a $10 discount using the code “TeachCast”

Read more 👉 https://t.co/DjtyYxnfzO

#metametrics #K12 #EDU https://t.co/moWnKIQrja","Durham, NC",en,1.0,Tue Jul 06 13:44:40 +0000 2021,,False,False,False,False,True
101,Crowdmark,"""Most importantly, keeping in mind that there is a learner at the other end of every engagement means we stay focused on making courses better."" https://t.co/B1SngMsfl5 @edtechdigest #Education #K12 #Learning https://t.co/vpbGxuNTIR",Toronto,en,0.0,Tue Jul 06 13:44:49 +0000 2021,,False,False,False,False,True
102,mcebrianster,"What’s this you’re hearing about social reading? Get the scoop on this pedagogical tool that helps #K12 students succeed by making reading active, visible, &amp; social. Join us for “K12 Intro to Social Annotation” on 13 July at 11:15am PT.  https://t.co/O19pHK1yei
#K12 #EdChat https://t.co/XdaRiy58B4",Europa,en,1.0,Tue Jul 06 13:44:55 +0000 2021,['K12'],False,False,False,False,True
103,princetonareacf,We are so thankful for your support @HZNFoundation!,"Lawrenceville, NJ",en,0.0,Tue Jul 06 13:45:00 +0000 2021,,False,False,False,False,False
